experiment,trained_mw_angle,inferred_mw_angle,condition,frequency_normalized,fsc
subexp01_inference_angle,50,50,infer_50,0.1971153846153846,0.9416070764892286
subexp01_inference_angle,50,50,infer_50,0.20673076923076922,0.9377873713556475
subexp01_inference_angle,50,50,infer_50,0.21634615384615385,0.9416954554106681
subexp01_inference_angle,50,50,infer_50,0.22596153846153846,0.9325274983409813
subexp01_inference_angle,50,50,infer_50,0.23557692307692307,0.9320611585796724
subexp01_inference_angle,50,50,infer_50,0.24519230769230768,0.9365817430083841
subexp01_inference_angle,50,50,infer_50,0.2548076923076923,0.933335957496328
subexp01_inference_angle,50,50,infer_50,0.2644230769230769,0.9361805794321073
subexp01_inference_angle,50,50,infer_50,0.27403846153846156,0.9295134665443869
subexp01_inference_angle,50,50,infer_50,0.28365384615384615,0.9322468338005642
subexp01_inference_angle,50,50,infer_50,0.2932692307692308,0.9204982723310784
subexp01_inference_angle,50,50,infer_50,0.30288461538461536,0.930795753624509
subexp01_inference_angle,50,50,infer_50,0.3125,0.9202991479713184
subexp01_inference_angle,50,50,infer_50,0.32211538461538464,0.9197055668810629
subexp01_inference_angle,50,50,infer_50,0.3317307692307692,0.9265499015736675
subexp01_inference_angle,50,50,infer_50,0.34134615384615385,0.9170204557346483
subexp01_inference_angle,50,50,infer_50,0.35096153846153844,0.929038303628888
subexp01_inference_angle,50,50,infer_50,0.3605769230769231,0.9359569249561465
subexp01_inference_angle,50,50,infer_50,0.3701923076923077,0.9240173477936621
subexp01_inference_angle,50,50,infer_50,0.3798076923076923,0.9323312012940475
subexp01_inference_angle,50,50,infer_50,0.3894230769230769,0.9342025934817295
subexp01_inference_angle,50,50,infer_50,0.39903846153846156,0.9250663608568529
subexp01_inference_angle,50,50,infer_50,0.40865384615384615,0.9164317467909843
subexp01_inference_angle,50,50,infer_50,0.4182692307692308,0.9152522831596608
subexp01_inference_angle,50,50,infer_50,0.42788461538461536,0.9096670982574354
subexp01_inference_angle,50,50,infer_50,0.4375,0.9048490902686864
subexp01_inference_angle,50,50,infer_50,0.44711538461538464,0.9178699534645138
subexp01_inference_angle,50,50,infer_50,0.4567307692307692,0.9190987290296565
subexp01_inference_angle,50,50,infer_50,0.46634615384615385,0.9104108446279864
subexp01_inference_angle,50,50,infer_50,0.47596153846153844,0.9202702169631871
subexp01_inference_angle,50,50,infer_50,0.4855769230769231,0.9179459970378804
subexp01_inference_angle,50,50,infer_50,0.4951923076923077,0.904571833069242
subexp01_inference_angle,50,50,infer_50,0.5048076923076923,0.8971486452188406
subexp01_inference_angle,50,50,infer_50,0.5144230769230769,0.8949332089906276
subexp01_inference_angle,50,50,infer_50,0.5240384615384616,0.8766388742921991
subexp01_inference_angle,50,50,infer_50,0.5336538461538461,0.8622655726493491
subexp01_inference_angle,50,50,infer_50,0.5432692307692307,0.860626702591894
subexp01_inference_angle,50,50,infer_50,0.5528846153846154,0.8546039929532834
subexp01_inference_angle,50,50,infer_50,0.5625,0.8508429571452812
subexp01_inference_angle,50,50,infer_50,0.5721153846153846,0.8524402007903485
subexp01_inference_angle,50,50,infer_50,0.5817307692307693,0.8410781612578756
subexp01_inference_angle,50,50,infer_50,0.5913461538461539,0.8459398064164158
subexp01_inference_angle,50,50,infer_50,0.6009615384615384,0.8655332678029689
subexp01_inference_angle,50,50,infer_50,0.6105769230769231,0.8650519864379177
subexp01_inference_angle,50,50,infer_50,0.6201923076923077,0.8650769356701589
subexp01_inference_angle,50,50,infer_50,0.6298076923076923,0.8649859938891682
subexp01_inference_angle,50,50,infer_50,0.6394230769230769,0.8511617077020869
subexp01_inference_angle,50,50,infer_50,0.6490384615384616,0.8601206292654865
subexp01_inference_angle,50,50,infer_50,0.6586538461538461,0.8588462491842478
subexp01_inference_angle,50,50,infer_50,0.6682692307692307,0.8527987274611221
subexp01_inference_angle,50,50,infer_50,0.6778846153846154,0.8515849645861864
subexp01_inference_angle,50,50,infer_50,0.6875,0.8538361481814238
subexp01_inference_angle,50,50,infer_50,0.6971153846153846,0.8476879807537341
